rank,score,tournament_id,name,event_date,series,flagged_classes,top_flags
87,56.0,73,"第65回全国かるた競技福井大会(A,B,C)",2012-06-10,福井大会,7,Ｄ級①(D):round進行異常1箇所 / Ｄ級②(D):round進行異常1箇所 / Ｄ級③(D):round進行異常1箇所
88,56.0,1495,第1回競技かるた初段認定沖縄大会,2022-02-27,初段認定沖縄大会,1,A級(A):相手未解決34%(31件); 勝敗矛盾26件; 優勝者導出なし
89,55.7,710,第2回奥の細道むすびの地 全国かるた競技大垣大会,2014-05-04,大垣大会,1,Ｃ２級(C):ミラー欠落100%(62件); 無対戦参加者49%(31人); 優勝者導出なし
90,55.3,670,第13回百人一首かるた杉並大会,2012-06-10,杉並大会,8,D2(D):相手未解決11%(6件) / D1(D):相手未解決7%(4件) / D3(D):相手未解決7%(4件)
91,55.1,1202,小倉百人一首競技かるた 第56回全国小・中学生選手権大会,2026-03-22,小・中学生選手権,2,小２以下級(-):相手未解決93%(54件); 無対戦参加者65%(53人) / 小６級(-):ミラー欠落5%(4件)
92,55.0,1467,第4回白瀧杯女流かるた高校選手権大会,2016-08-21,白瀧杯女流高校選手権,1,A級(A):相手未解決19%(12件); ミラー欠落33%(17件); 優勝者導出なし
93,54.3,863,第35回滋賀県競技かるた大会,,滋賀県大会,4,F2級(-):ミラー欠落14%(4件); 同round重複3件; 優勝者導出なし / B(B):round進行異常1箇所; 優勝者導出なし / F1級（並び替え前）(-):優勝者導出なし
94,54.0,1211,第14回奥の細道むすびの地全国競技かるた大垣大会,2026-05-03,大垣大会,5,Ｃ級詳細(C):優勝者導出なし; 相手名ゴミ31件 / Ｄ級詳細(D):優勝者導出なし; 相手名ゴミ47件 / E(E):優勝者導出なし; 相手名ゴミ4件
95,52.3,1147,第96回全国競技かるた学生選手権大会(E),2025-11-02,学生選手権,10,E7(E):相手未解決11%(3件); ミラー欠落4%(1件) / E8(E):相手未解決7%(2件) / E3(E):ミラー欠落7%(2件)
96,52.1,1318,第1回フランス大会,2022-11-12,フランス大会,1,結果(-):相手未解決100%(66件); round欠番(5/6); 無対戦参加者10%(3人)
